fix_name,latitude,longitude,type
04V,38.09939444,-106.17432777,AIRPORT
04VA,36.89825555,-82.07848333,AIRPORT
04VG,37.71443333,-77.21181666,AIRPORT
04VT,44.40111111,-72.26361111,AIRPORT
04W,46.02286811,-92.89517441,AIRPORT
04WA,47.58183611,-117.4371525,AIRPORT
04WI,42.5233525,-88.01674805,AIRPORT
04WN,46.95835833,-119.63881944,AIRPORT
04XA,33.28393333,-98.40286111,AIRPORT
04Y,46.88377777,-96.35061111,AIRPORT
05AA,57.51493833,-134.946215,AIRPORT
05AK,61.66865416,-149.18733333,AIRPORT
05AL,31.231175,-85.64970277,AIRPORT
05AN,64.96047202,-147.60109194,AIRPORT
05AR,36.00063333,-93.57025,AIRPORT
05AZ,32.68362222,-114.63505833,AIRPORT
05B,47.15893194,-67.93196833,AIRPORT
05C,41.519841,-87.39950797,AIRPORT
05CA,34.13652777,-118.71468055,AIRPORT
05CL,38.61073916,-122.3913675,AIRPORT
05CO,40.21498388,-104.98442277,AIRPORT
05D,47.96812777,-102.47856138,AIRPORT
05FA,30.91888888,-86.21833333,AIRPORT
05FD,25.95737222,-80.13860555,AIRPORT
05FL,26.52022222,-81.41022222,AIRPORT
05GA,32.07138888,-84.71444444,AIRPORT
05IA,43.13787083,-93.06834166,AIRPORT
05ID,45.91408361,-114.83566055,AIRPORT
05IL,41.16,-88.01666666,AIRPORT
05IN,39.64199083,-86.50416416,AIRPORT
05K,60.19848083,-154.32304916,AIRPORT
05KS,37.26633888,-95.958975,AIRPORT
05KT,38.18820277,-84.92750277,AIRPORT
05KY,37.53555555,-84.40722222,AIRPORT
05LA,32.26542083,-91.69792083,AIRPORT
05LL,41.74922222,-87.93590277,AIRPORT
05LS,31.25222222,-92.47583333,AIRPORT
05M,40.4246,-111.87766666,AIRPORT
05MA,42.69308055,-70.91229722,AIRPORT
05MD,39.2442188,-76.19867144,AIRPORT
05ME,44.65702166,-67.55916,AIRPORT
05MI,42.23638888,-83.27638888,AIRPORT
05MN,47.5175,-92.23027777,AIRPORT
05MO,40.17201944,-92.21250833,AIRPORT
05MT,45.81662777,-111.15214166,AIRPORT
05N,35.48218472,-77.3557743,AIRPORT
